sol = [2,5,10,6,1,11,7,3,21,4,18,24,12,26,15,25,9,20,8,16,13,22,14,23,17,19]
sol = [2,5,10,6,1,11,7,3,21,4,18,25,12,24,13,26,9,20,8,17,14,23,15,22,16,19]
sol = [2,5,10,6,1,11,7,3,21,4,19,24,12,26,15,25,9,20,8,16,13,22,14,23,17,18]
sol = [2,5,10,6,1,11,7,3,21,4,19,25,12,24,13,26,9,20,8,17,14,23,15,22,16,18]
sol = [2,5,10,7,1,11,6,3,18,4,19,24,12,26,15,25,8,21,9,17,14,22,13,23,16,20]
sol = [2,5,10,8,1,11,6,3,18,4,17,24,12,25,14,26,7,21,9,19,16,22,13,23,15,20]
sol = [2,5,10,8,1,11,7,3,21,4,18,19,9,26,15,23,6,22,13,17,14,25,12,24,16,20]
sol = [2,5,10,8,1,11,7,3,21,4,18,20,9,26,15,23,6,22,13,17,14,25,12,24,16,19]
sol = [2,5,10,8,1,11,7,3,21,4,19,18,9,26,15,23,6,22,13,17,14,25,12,24,16,20]
sol = [2,5,10,8,1,11,7,3,21,4,19,20,9,26,15,23,6,22,13,17,14,25,12,24,16,18]
sol = [2,5,10,8,1,11,7,3,21,4,19,24,12,26,15,25,9,18,6,16,13,23,17,22,14,20]
sol = [2,5,10,8,1,11,7,3,21,4,19,25,12,24,13,26,9,18,6,17,14,22,16,23,15,20]
sol = [2,5,10,8,1,12,6,3,18,4,17,23,11,25,13,26,7,20,9,19,16,24,15,22,14,21]
sol = [2,5,10,8,1,12,6,3,18,4,19,22,11,26,14,23,7,20,9,16,13,24,15,25,17,21]
sol = [2,5,10,8,1,12,7,3,21,4,16,22,11,25,13,23,6,20,9,17,14,24,15,26,18,19]
sol = [2,5,10,8,1,12,7,3,21,4,16,23,11,25,13,24,6,20,9,18,15,26,17,22,14,19]
sol = [2,5,10,8,1,12,7,3,21,4,16,23,11,26,14,24,6,20,9,18,15,22,13,25,17,19]
sol = [2,5,10,8,1,12,7,3,21,4,17,18,9,26,14,25,6,20,11,19,16,24,13,23,15,22]
sol = [2,5,10,8,1,12,7,3,21,4,17,18,9,26,14,25,6,22,13,19,16,24,11,23,15,20]
sol = [2,5,10,8,1,12,7,3,21,4,17,20,9,26,14,25,6,22,13,19,16,24,11,23,15,18]
sol = [2,5,10,8,1,12,7,3,21,4,17,22,9,26,14,25,6,20,11,19,16,24,13,23,15,18]
sol = [2,5,10,8,1,12,7,3,21,4,17,24,11,26,14,25,6,20,9,19,16,22,13,23,15,18]
sol = [2,5,10,8,1,12,7,3,21,4,18,19,9,25,13,23,6,20,11,17,14,26,15,24,16,22]
sol = [2,5,10,8,1,12,7,3,21,4,18,20,9,26,14,25,6,22,13,19,16,24,11,23,15,17]
sol = [2,5,10,8,1,12,7,3,21,4,18,22,9,25,13,23,6,20,11,17,14,26,15,24,16,19]
sol = [2,5,10,8,1,12,7,3,21,4,18,22,9,26,14,25,6,20,11,19,16,24,13,23,15,17]
sol = [2,5,10,8,1,12,7,3,21,4,18,23,11,26,14,22,6,20,9,16,13,24,15,25,17,19]
sol = [2,5,10,8,1,12,7,3,21,4,18,24,11,26,14,25,6,20,9,19,16,22,13,23,15,17]
sol = [2,5,10,8,1,12,7,3,21,4,19,18,9,25,13,23,6,20,11,17,14,26,15,24,16,22]
sol = [2,5,10,8,1,12,7,3,21,4,19,22,9,25,13,23,6,20,11,17,14,26,15,24,16,18]
sol = [2,5,10,8,1,12,7,3,21,4,19,22,11,25,13,23,6,20,9,17,14,24,15,26,18,16]
sol = [2,5,10,8,1,12,7,3,21,4,19,22,11,26,14,25,9,17,6,16,13,24,18,23,15,20]
sol = [2,5,10,8,1,12,7,3,21,4,19,23,11,25,13,24,6,20,9,18,15,26,17,22,14,16]
sol = [2,5,10,8,1,12,7,3,21,4,19,23,11,26,14,22,6,20,9,16,13,24,15,25,17,18]
sol = [2,5,10,8,1,12,7,3,21,4,19,23,11,26,14,24,6,20,9,18,15,22,13,25,17,16]
sol = [2,5,10,8,1,13,6,3,18,4,17,23,11,25,12,26,7,20,9,19,16,24,15,22,14,21]
sol = [2,5,10,8,1,13,7,3,21,4,16,22,11,25,12,23,6,20,9,17,14,24,15,26,18,19]
sol = [2,5,10,8,1,13,7,3,21,4,16,23,11,25,12,24,6,20,9,18,15,26,17,22,14,19]
sol = [2,5,10,8,1,13,7,3,21,4,18,19,9,25,12,23,6,20,11,17,14,26,15,24,16,22]
sol = [2,5,10,8,1,13,7,3,21,4,18,22,9,25,12,23,6,20,11,17,14,26,15,24,16,19]
sol = [2,5,10,8,1,13,7,3,21,4,19,18,9,25,12,23,6,20,11,17,14,26,15,24,16,22]
sol = [2,5,10,8,1,13,7,3,21,4,19,22,9,25,12,23,6,20,11,17,14,26,15,24,16,18]
sol = [2,5,10,8,1,13,7,3,21,4,19,22,11,25,12,23,6,20,9,17,14,24,15,26,18,16]
sol = [2,5,10,8,1,13,7,3,21,4,19,23,11,25,12,24,6,20,9,18,15,26,17,22,14,16]
sol = [2,5,10,8,1,13,7,3,21,4,19,25,12,24,11,26,9,18,6,17,14,22,16,23,15,20]
sol = [2,5,10,8,1,14,6,3,18,4,17,24,12,25,11,26,7,21,9,19,16,22,13,23,15,20]
sol = [2,5,10,8,1,14,6,3,18,4,19,22,11,26,12,23,7,20,9,16,13,24,15,25,17,21]
sol = [2,5,10,8,1,14,7,3,21,4,16,23,11,26,12,24,6,20,9,18,15,22,13,25,17,19]
sol = [2,5,10,8,1,14,7,3,21,4,17,18,9,26,12,25,6,20,11,19,16,24,13,23,15,22]
sol = [2,5,10,8,1,14,7,3,21,4,17,18,9,26,12,25,6,22,13,19,16,24,11,23,15,20]
sol = [2,5,10,8,1,14,7,3,21,4,17,20,9,26,12,25,6,22,13,19,16,24,11,23,15,18]
sol = [2,5,10,8,1,14,7,3,21,4,17,22,9,26,12,25,6,20,11,19,16,24,13,23,15,18]
sol = [2,5,10,8,1,14,7,3,21,4,17,24,11,26,12,25,6,20,9,19,16,22,13,23,15,18]
sol = [2,5,10,8,1,14,7,3,21,4,18,20,9,26,12,25,6,22,13,19,16,24,11,23,15,17]
sol = [2,5,10,8,1,14,7,3,21,4,18,22,9,26,12,25,6,20,11,19,16,24,13,23,15,17]
sol = [2,5,10,8,1,14,7,3,21,4,18,23,11,26,12,22,6,20,9,16,13,24,15,25,17,19]
sol = [2,5,10,8,1,14,7,3,21,4,18,24,11,26,12,25,6,20,9,19,16,22,13,23,15,17]
sol = [2,5,10,8,1,14,7,3,21,4,19,22,11,26,12,25,9,17,6,16,13,24,18,23,15,20]
sol = [2,5,10,8,1,14,7,3,21,4,19,23,11,26,12,22,6,20,9,16,13,24,15,25,17,18]
sol = [2,5,10,8,1,14,7,3,21,4,19,23,11,26,12,24,6,20,9,18,15,22,13,25,17,16]
sol = [2,5,10,8,1,15,7,3,21,4,18,19,9,26,11,23,6,22,13,17,14,25,12,24,16,20]
sol = [2,5,10,8,1,15,7,3,21,4,18,20,9,26,11,23,6,22,13,17,14,25,12,24,16,19]
sol = [2,5,10,8,1,15,7,3,21,4,19,18,9,26,11,23,6,22,13,17,14,25,12,24,16,20]
sol = [2,5,10,8,1,15,7,3,21,4,19,20,9,26,11,23,6,22,13,17,14,25,12,24,16,18]
sol = [2,5,10,8,1,15,7,3,21,4,19,24,12,26,11,25,9,18,6,16,13,23,17,22,14,20]
sol = [2,5,10,9,1,11,6,3,18,4,17,24,12,25,14,26,7,20,8,19,16,23,15,22,13,21]
sol = [2,5,10,9,1,11,7,3,21,4,18,24,12,25,14,22,6,20,8,16,13,23,15,26,17,19]
sol = [2,5,10,9,1,11,7,3,21,4,18,24,12,26,15,22,6,20,8,16,13,25,17,23,14,19]
sol = [2,5,10,9,1,11,7,3,21,4,18,25,12,26,15,23,6,20,8,17,14,24,16,22,13,19]
sol = [2,5,10,9,1,11,7,3,21,4,18,26,13,23,12,25,8,19,6,17,14,22,16,24,15,20]
sol = [2,5,10,9,1,11,7,3,21,4,19,24,12,25,14,22,6,20,8,16,13,23,15,26,17,18]
sol = [2,5,10,9,1,11,7,3,21,4,19,24,12,26,15,22,6,20,8,16,13,25,17,23,14,18]
sol = [2,5,10,9,1,11,7,3,21,4,19,25,12,26,15,23,6,20,8,17,14,24,16,22,13,18]
sol = [2,5,10,9,1,12,7,3,21,4,16,22,11,25,13,23,6,19,8,17,14,26,18,24,15,20]
sol = [2,5,10,9,1,12,7,3,21,4,16,23,11,25,13,24,6,19,8,18,15,22,14,26,17,20]
sol = [2,5,10,9,1,12,7,3,21,4,16,23,11,25,13,26,6,19,8,20,17,22,14,24,15,18]
sol = [2,5,10,9,1,12,7,3,21,4,16,23,11,26,14,24,6,19,8,18,15,25,17,22,13,20]
sol = [2,5,10,9,1,12,7,3,21,4,18,22,11,25,13,26,6,19,8,20,17,24,16,23,14,15]
sol = [2,5,10,9,1,12,7,3,21,4,18,23,11,25,13,26,6,19,8,20,17,22,14,24,15,16]
sol = [2,5,10,9,1,12,7,3,21,4,18,23,11,26,14,22,6,19,8,16,13,25,17,24,15,20]
sol = [2,5,10,9,1,12,7,3,21,4,18,26,13,23,11,25,8,19,6,17,14,22,16,24,15,20]
sol = [2,5,10,9,1,12,7,3,21,4,19,24,11,25,13,26,8,17,6,18,15,22,16,23,14,20]
sol = [2,5,10,9,1,12,8,3,24,4,18,22,11,25,13,26,7,17,6,19,16,21,15,23,14,20]
sol = [2,5,10,9,1,13,7,3,21,4,16,22,11,25,12,23,6,19,8,17,14,26,18,24,15,20]
sol = [2,5,10,9,1,13,7,3,21,4,16,23,11,25,12,24,6,19,8,18,15,22,14,26,17,20]
sol = [2,5,10,9,1,13,7,3,21,4,16,23,11,25,12,26,6,19,8,20,17,22,14,24,15,18]
sol = [2,5,10,9,1,13,7,3,21,4,18,22,11,25,12,26,6,19,8,20,17,24,16,23,14,15]
sol = [2,5,10,9,1,13,7,3,21,4,18,23,11,25,12,26,6,19,8,20,17,22,14,24,15,16]
sol = [2,5,10,9,1,13,7,3,21,4,19,24,11,25,12,26,8,17,6,18,15,22,16,23,14,20]
sol = [2,5,10,9,1,13,8,3,24,4,18,22,11,25,12,26,7,17,6,19,16,21,15,23,14,20]
sol = [2,5,10,9,1,14,6,3,18,4,17,24,12,25,11,26,7,20,8,19,16,23,15,22,13,21]
sol = [2,5,10,9,1,14,7,3,21,4,16,23,11,26,12,24,6,19,8,18,15,25,17,22,13,20]
sol = [2,5,10,9,1,14,7,3,21,4,18,23,11,26,12,22,6,19,8,16,13,25,17,24,15,20]
sol = [2,5,10,9,1,14,7,3,21,4,18,24,12,25,11,22,6,20,8,16,13,23,15,26,17,19]
sol = [2,5,10,9,1,14,7,3,21,4,19,24,12,25,11,22,6,20,8,16,13,23,15,26,17,18]
sol = [2,5,10,9,1,15,7,3,21,4,18,24,12,26,11,22,6,20,8,16,13,25,17,23,14,19]
sol = [2,5,10,9,1,15,7,3,21,4,18,25,12,26,11,23,6,20,8,17,14,24,16,22,13,19]
sol = [2,5,10,9,1,15,7,3,21,4,19,24,12,26,11,22,6,20,8,16,13,25,17,23,14,18]
sol = [2,5,10,9,1,15,7,3,21,4,19,25,12,26,11,23,6,20,8,17,14,24,16,22,13,18]
sol = [2,5,10,11,1,12,7,3,21,4,18,20,9,26,14,25,6,17,8,19,16,23,15,24,13,22]
sol = [2,5,10,11,1,12,7,3,21,4,18,22,9,26,14,25,6,17,8,19,16,23,15,24,13,20]
